url,image,name,price,brand,sv_star,sv_num_reviews
https://www.stylevana.com/en_US/beauty-of-joseon-relief-sun-aqua-fresh-rice-b5-spf50-pa-10ml27122.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/b/e/beauty-of-joseon-relief-sun-aqua-fresh-rice-b5-spf50-pa-10ml-157.jpg,BEAUTY OF JOSEON - Relief Sun Aqua-fresh Rice + B5 SPF50+ PA++++ - 10ml,$3.71,BEAUTY OF JOSEON,4.3,12
https://www.stylevana.com/en_US/beauty-of-joseon-relief-sun-rice-probiotics-set-spf50-pa-50ml-227137.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/b/e/beauty-of-joseon-relief-sun-rice-probiotics-set-spf50-pa-50ml-2-697.jpg,BEAUTY OF JOSEON - Relief Sun : Rice + Probiotics Set SPF50+ PA++++ - 50ml*2,$35.15,BEAUTY OF JOSEON,4.5,906
https://www.stylevana.com/en_US/bellflower-avocado-moisture-sunscreen-spf50-pa-50ml27095.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/b/e/bellflower-avocado-moisture-sunscreen-spf50-pa-50ml-507.jpg,Bellflower - Avocado Moisture Sunscreen SPF50+ PA++++ - 50ml,$8.29,Bellflower,4.6,19
https://www.stylevana.com/en_US/goodal-green-tangerine-vita-c-dark-spot-care-sun-serum-spf50-pa-50ml27608.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/g/o/goodal-green-tangerine-vita-c-dark-spot-care-sun-serum-spf50-pa-50ml-332.jpg,Goodal - Green Tangerine Vita-C Dark Spot Care Sun Serum SPF50+ PA++++ - 50ml,$18.80,Goodal,3.0,8
https://www.stylevana.com/en_US/abib-airy-sunstick-smoothing-bar-spf50-pa-23g21909.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/a/b/abib-airy-sunstick-smoothing-bar-spf50-pa-23g-137.jpg,Abib - Airy Sunstick Smoothing Bar SPF50+ PA++++ - 23g,$25.82,Abib,4.4,514
https://www.stylevana.com/en_US/skin1004-madagascar-centella-hyalu-cica-silky-fit-sun-stick-mini-spf50-pa-7g22062.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/s/k/skin1004-madagascar-centella-hyalu-cica-silky-fit-sun-stick-mini-spf50-pa-7g-572.jpg,SKIN1004 - Madagascar Centella Hyalu-Cica Silky-Fit Sun Stick Mini SPF50+ PA++++ - 7g,$5.97,SKIN1004,4.9,11
https://www.stylevana.com/en_US/la-roche-posay-anthelios-uvmune-400-invisible-fluid-spf50-50ml.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/l/a/la-roche-posay-anthelios-uvmune-400-invisible-fluid-spf50-50ml-853.jpg,La Roche Posay - Anthelios UVmune 400 Invisible Fluid SPF50+ - 50ml,$19.41,La Roche Posay,3.3,12
https://www.stylevana.com/en_US/pyunkang-yul-ato-mild-sun-cream-spf50-pa-75ml28672.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/p/y/pyunkang-yul-ato-mild-sun-cream-spf50-pa-75ml-45.jpg,Pyunkang Yul - ATO Mild Sun Cream SPF50 PA++++ - 75ml,$17.35,Pyunkang Yul,3.6,7
https://www.stylevana.com/en_US/shiseido-anessa-perfect-uv-sunscreen-skin-care-milk-spf50-pa-2024-version-60ml28856.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/s/h/shiseido-anessa-perfect-uv-sunscreen-skin-care-milk-spf50-pa-2024-version-60ml-150.jpg,Shiseido - Anessa Perfect UV Sunscreen Skin Care Milk SPF50+ PA++++ (2024 Version) - 60ml,$23.09,Shiseido,4.1,10
https://www.stylevana.com/en_US/isntree-hyaluronic-acid-watery-sun-gel-spf50-pa-50ml27732.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/i/s/isntree-hyaluronic-acid-watery-sun-gel-spf50-pa-50ml-861.jpg,Isntree - Hyaluronic Acid Watery Sun Gel SPF50+ PA++++ - 50ml,$19.86,Isntree,4.6,786
https://www.stylevana.com/en_US/omi-sun-bears-active-protect-milk-uv-sunscreen-spf50-pa-30g28558.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/o/m/omi-sun-bears-active-protect-milk-uv-sunscreen-spf50-pa-30g-683.jpg,OMI - Sun Bears Active Protect Milk UV Sunscreen SPF50+ PA++++ - 30g,$4.49,OMI,4.1,14
https://www.stylevana.com/en_US/tocobo-bio-watery-sun-cream-spf50-pa-50ml.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/t/o/tocobo-bio-watery-sun-cream-spf50-pa-50ml-218.jpg,TOCOBO - Bio Watery Sun Cream SPF50 PA++++ - 50ml,$19.53,TOCOBO,4.2,54
https://www.stylevana.com/en_US/purito-seoul-wonder-releaf-centella-daily-sun-lotion-spf50-pa-60ml.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/p/u/purito-seoul-wonder-releaf-centella-daily-sun-lotion-spf50-pa-60ml-682.jpg,Purito SEOUL - Wonder Releaf Centella Daily Sun Lotion SPF50+ PA++++ - 60ml,$13.98,Purito SEOUL,4.4,488
https://www.stylevana.com/en_US/derma-b-everyday-sun-block-spf50-pa-200ml27373.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/d/e/derma-b-everyday-sun-block-spf50-pa-200ml-26.jpg,Derma:B - Everyday Sun Block SPF50+ PA++++ - 200ml,$14.43,Derma:B,4.2,43
https://www.stylevana.com/en_US/canmake-mermaid-skin-gel-uv-spf-50-pa-40g-01-clear27217.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/c/a/canmake-mermaid-skin-gel-uv-748.jpg,CANMAKE - Mermaid Skin Gel UV SPF 50+ PA++++ - 40g - 01 Clear,$10.99,CMK,4.7,396
https://www.stylevana.com/en_US/house-of-hur-weightless-sun-fluid-spf50-pa-50ml27639.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/h/o/house-of-hur-weightless-sun-fluid-spf50-pa-50ml-377.jpg,HOUSE OF HUR - Weightless Sun Fluid SPF50+ PA++++ - 50ml,$16.49,HOUSE OF HUR,4.7,21
