url,image,name,price,brand,star,num_reviews
https://www.stylevana.com/en_US/medicube-pdrn-pink-collagen-capsule-cream-55g6741.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/m/e/medicube-pdrn-pink-collagen-capsule-cream-55g-823.jpg,medicube - PDRN Pink Collagen Capsule Cream - 55g,$29.51,medicube,5.0,5
https://www.stylevana.com/en_US/round-lab-birch-juice-moisturizing-cream-80ml7555.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/r/o/round-lab-birch-juice-moisturizing-cream-80ml-403.jpg,Round Lab - Birch Juice Moisturizing Cream - 80ml,$23.40,Round Lab,4.6,64
https://www.stylevana.com/en_US/isntree-hyaluronic-acid-aqua-gel-cream-100ml6238.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/i/s/isntree-hyaluronic-acid-aqua-gel-cream-100ml-615.jpg,Isntree - Hyaluronic Acid Aqua Gel Cream - 100ml,$18.07,Isntree,4.6,241
https://www.stylevana.com/en_US/skin1004-madagascar-centella-hyalu-cica-moisture-cream-75ml7713.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/s/k/skin1004-madagascar-centella-hyalu-cica-moisture-cream-75ml-65.jpg,SKIN1004 - Madagascar Centella Hyalu-Cica Moisture Cream - 75ml,$14.11,SKIN1004,4.4,30
https://www.stylevana.com/en_US/celimax-dual-barrier-skin-wearable-cream-50ml5224.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/c/e/celimax-dual-barrier-skin-wearable-cream-50ml-531.jpg,CELIMAX - Dual Barrier Skin Wearable Cream - 50ml,$23.33,CELIMAX,4.3,30
https://www.stylevana.com/en_US/skin1004-madagascar-centella-soothing-cream-75ml7718.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/s/k/skin1004-madagascar-centella-soothing-cream-75ml-398.jpg,SKIN1004 - Madagascar Centella Soothing Cream - 75ml,$14.11,SKIN1004,4.7,116
https://www.stylevana.com/en_US/dr-g-r-e-d-blemish-clear-soothing-cream-70ml5514.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/d/r/dr-g-r-e-d-blemish-clear-soothing-cream-70ml-787.jpg,Dr.G - R.E.D Blemish Clear Soothing Cream - 70ml,$26.55,Dr.G,4.4,109
https://www.stylevana.com/en_US/medicube-collagen-jelly-cream-50ml6743.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/m/e/medicube-collagen-jelly-cream-50ml-353.jpg,medicube - Collagen Jelly Cream - 50ml,$17.90,medicube,4.6,11
https://www.stylevana.com/en_US/cosrx-advanced-snail-92-all-in-one-cream-100g5273.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/c/o/cosrx-advanced-snail-92-all-in-one-cream-918.jpg,COSRX - Advanced Snail 92 All In One Cream - 100g,$19.75,COSRX,4.5,650
https://www.stylevana.com/en_US/skin1004-madagascar-centella-poremizing-light-gel-cream-75ml7711.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/s/k/skin1004-madagascar-centella-poremizing-light-gel-cream-75ml-65.jpg,SKIN1004 - Madagascar Centella Poremizing Light Gel Cream - 75ml,$14.11,SKIN1004,4.5,32
https://www.stylevana.com/en_US/aplb-azelaic-acid-peptide-facial-cream-55ml4791.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/a/p/aplb-azelaic-acid-peptide-facial-cream-55ml-118.jpg,APLB - Azelaic Acid Peptide Facial Cream - 55ml,$10.63,APLB,4.9,16
https://www.stylevana.com/en_US/beauty-of-joseon-dynasty-cream-tube-100ml70390.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/b/e/beauty-of-joseon-dynasty-cream-tube-100ml-505.jpg,BEAUTY OF JOSEON - Dynasty Cream (Tube) - 100ml,$33.20,BEAUTY OF JOSEON,4.8,12
https://www.stylevana.com/en_US/etude-soon-jung-2x-barrier-intensive-cream-2023-new-version-60ml5789.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/e/t/etude-house-soon-jung-2x-barrier-intensive-cream-2023-new-version-60ml-367.jpg,ETUDE - Soon Jung 2x Barrier Intensive Cream (2023 New Version) - 60ml,$11.63,Etude,4.5,129
https://www.stylevana.com/en_US/medicube-collagen-jelly-cream-110ml6718.html,https://sv9-cdn.stylevana.com/media/catalog/product/cache/7e00eb21d3013c69d32459d0d98e2fbf/m/e/medicube-collagen-jelly-cream-110ml-262.jpg,medicube - Collagen Jelly Cream - 110ml,$30.38,medicube,4.3,119
https://www.stylevana.com/en_US/skin1004-madagascar-centella-probio-cica-enrich-cream-50ml7750.html,,SKIN1004 - Madagascar Centella Probio-Cica Enrich Cream - 50ml,$16.27,SKIN1004,4.5,676
